Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
163.53.78.51-172.17.237.22-443-48066-6,163.53.78.51,443,172.17.237.22,48066,6,22-12-2021 13:04,9,1,1,0,31,0,0,0,0,31,31,31,0,3444444.444,222222.2222,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,111111.1111,111111.1111,0,31,20.66666667,17.89785834,320.3333333,0,0,0,1,1,0,0,0,1,31,0,31,0,0,0,0,0,0,1,0,1,31,-1,419,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-52.4.194.209-45672-443-6,52.4.194.209,443,172.17.237.22,45672,6,22-12-2021 13:04,12,2,1,31,46,31,0,15.5,21.92031022,46,46,46,0,6416666.667,250000,6,4.242640687,9,3,3,3,0,3,3,0,0,0,0,0,0,1,0,0,40,20,166666.6667,83333.33333,0,46,30.75,21.68524844,470.25,0,0,0,1,1,0,0,0,0,41,15.5,46,0,0,0,0,0,0,2,31,1,46,-1,245,1,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-52.4.194.209-45672-443-6,172.17.237.22,45672,52.4.194.209,443,6,22-12-2021 13:04,184,1,1,0,0,0,0,0,0,0,0,0,0,0,10869.56522,184,0,184,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5434.782609,5434.782609,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-18.141.21.165-42640-443-6,18.141.21.165,443,172.17.237.22,42640,6,22-12-2021 13:04,8,1,1,0,31,0,0,0,0,31,31,31,0,3875000,250000,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,125000,125000,0,31,20.66666667,17.89785834,320.3333333,0,0,0,1,1,0,0,0,1,31,0,31,0,0,0,0,0,0,1,0,1,31,-1,260,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-18.213.10.151-37034-443-6,18.213.10.151,443,172.17.237.22,37034,6,22-12-2021 13:04,9,1,1,0,77,0,0,0,0,77,77,77,0,8555555.556,222222.2222,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,111111.1111,111111.1111,0,77,51.33333333,44.45597073,1976.333333,0,0,0,1,1,0,0,0,1,77,0,77,0,0,0,0,0,0,1,0,1,77,-1,245,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-18.213.10.151-37034-443-6,172.17.237.22,37034,18.213.10.151,443,6,22-12-2021 13:04,276,1,1,0,0,0,0,0,0,0,0,0,0,0,7246.376812,276,0,276,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3623.188406,3623.188406,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-54.254.11.117-56424-443-6,54.254.11.117,443,172.17.237.22,56424,6,22-12-2021 13:04,12,1,1,0,77,0,0,0,0,77,77,77,0,6416666.667,166666.6667,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,83333.33333,83333.33333,0,77,51.33333333,44.45597073,1976.333333,0,0,0,1,1,0,0,0,1,77,0,77,0,0,0,0,0,0,1,0,1,77,-1,246,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-54.187.11.183-59804-443-6,54.187.11.183,443,172.17.237.22,59804,6,22-12-2021 13:04,12,2,1,31,46,31,0,15.5,21.92031022,46,46,46,0,6416666.667,250000,6,4.242640687,9,3,3,3,0,3,3,0,0,0,0,0,0,1,0,0,40,20,166666.6667,83333.33333,0,46,30.75,21.68524844,470.25,0,0,0,1,1,0,0,0,0,41,15.5,46,0,0,0,0,0,0,2,31,1,46,-1,256,1,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-54.187.11.183-59804-443-6,172.17.237.22,59804,54.187.11.183,443,6,22-12-2021 13:04,274,2,1,0,0,0,0,0,0,0,0,0,0,0,10948.90511,137,178.1909089,263,11,263,263,0,263,263,0,0,0,0,0,0,0,0,0,40,20,7299.270073,3649.635036,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-52.76.187.17-47524-443-6,52.76.187.17,443,172.17.237.22,47524,6,22-12-2021 13:04,11,2,1,31,46,31,0,15.5,21.92031022,46,46,46,0,7000000,272727.2727,5.5,4.949747468,9,2,2,2,0,2,2,0,0,0,0,0,0,1,0,0,40,20,181818.1818,90909.09091,0,46,30.75,21.68524844,470.25,0,0,0,1,1,0,0,0,0,41,15.5,46,0,0,0,0,0,0,2,31,1,46,-1,248,1,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-52.76.187.17-47524-443-6,172.17.237.22,47524,52.76.187.17,443,6,22-12-2021 13:04,198,1,1,0,0,0,0,0,0,0,0,0,0,0,10101.0101,198,0,198,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5050.505051,5050.505051,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
172.17.237.22-18.140.144.198-57632-443-6,18.140.144.198,443,172.17.237.22,57632,6,22-12-2021 13:04,5016189,1,2,0,31,0,0,0,0,31,0,15.5,21.92031022,6.179990427,0.59806359,2508094.5,3546916.204,5016143,46,0,0,0,0,0,46,46,0,46,46,0,1,0,0,20,40,0.19935453,0.39870906,0,31,15.5,17.89785834,320.3333333,0,0,0,1,1,0,0,0,2,20.66666667,0,15.5,0,0,0,0,0,0,1,0,2,31,-1,83,0,0,0,0,0,0,0,0,0,0,Normal
